date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:52	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202015%2016:23:49%20GMT	http://theme.stepofweb.com/robots.txt		(from )
21:53:54	52049/52049	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2020:59:38%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/index.html	(from )
21:53:54	113498/113498	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Nov%202014%2016:03:24%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/bootstrap/css/bootstrap.min.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:55	25197/25197	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202014%2023:28:20%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/font-awesome.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/font-awesome.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:55	5968/5968	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Feb%202015%2022:27:38%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/owl-carousel/owl.carousel.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/owl-carousel/owl.carousel.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:56	1665/1665	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202014%2002:16:28%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/owl-carousel/owl.theme.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/owl-carousel/owl.theme.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:56	4476/4476	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202014%2002:15:08%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/owl-carousel/owl.transitions.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/owl-carousel/owl.transitions.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:56	7782/7782	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Jan%202014%2018:46:38%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/magnific-popup/magnific-popup.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/magnific-popup/magnific-popup.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:57	27518/27518	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jan%202014%2003:56:12%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/animate.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/animate.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:57	1872/1872	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Jan%202014%2008:56:30%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/superslides.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/superslides.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:57	73697/73697	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Oct%202014%2018:52:44%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/revolution-slider/css/settings.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/plugins/revolution-slider/css/settings.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:58	64126/64126	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Feb%202015%2005:00:34%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/essentials.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/essentials.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:58	35087/35087	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Jan%202015%2020:18:16%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/layout.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/layout.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:59	12045/12045	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202014%2002:41:16%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/layout-responsive.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/layout-responsive.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:53:59	5668/5668	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202014%2017:12:14%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/orange.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/orange.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:54:00	5660/5660	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202014%2017:12:36%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/red.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/red.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:54:00	5664/5664	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202014%2017:12:38%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/pink.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/pink.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:54:00	5670/5670	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202014%2017:12:34%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/yellow.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/yellow.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:54:01	5680/5680	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202014%2017:12:22%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/darkgreen.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/darkgreen.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:54:01	5668/5668	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202014%2017:12:50%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/green.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/green.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
21:54:01	5676/5676	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202014%2017:12:26%20GMT	http://theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/darkblue.css	F:/My%20Web%20Sites/12/theme.stepofweb.com/Atropos/v1.6/HTML/assets/css/color_scheme/darkblue.css	(from http://theme.stepofweb.com/Atropos/v1.6/HTML/)
